Player,Jersey,Games Played,PPG,RPG,APG,SPG,BPG,FG%,3FG%,FT%,TO,PF,Points,Rebounds,Assists,Steals,Blocks,FG Made,FG Attempts,3FG Made,3FG Attempts,FT Made,FT Attempts,Turnovers,Fouls
Elijah Thrash,,4,12.3,7.0,3.5,2.3,0.5,46.5%,31.3%,40.0%,1.8,1.0,49,28,14,9,2,20,43,5,16,2,5,7,4
Jasper Liu,,4,10.8,4.0,1.5,1.0,0.0,45.7%,43.8%,33.3%,2.0,1.0,43,16,6,4,0,16,35,7,16,2,6,8,4
Jermaine Drakes,,4,9.3,4.0,2.0,1.3,0.8,32.6%,20.0%,62.5%,2.5,2.0,37,16,8,5,3,14,43,4,20,5,8,10,8
Alpha Diallo,,2,9.0,6.0,1.0,1.5,1.0,46.7%,33.3%,66.7%,1.5,2.5,18,12,2,3,2,7,15,2,6,2,3,5,5
Jaison Nkala,,4,8.3,2.5,2.3,0.3,0.3,70.0%,60.0%,20.0%,2.3,0.3,33,10,9,1,1,14,20,3,5,2,10,9,1
Matthew Forman,,4,8.0,9.3,0.3,0.8,2.3,42.4%,0.0%,33.3%,1.0,1.5,32,37,1,3,9,14,33,0,2,4,12,4,6
Ivan Cleveland,,2,8.0,2.5,2.0,1.5,0.0,70.0%,40.0%,N/A,1.5,0.5,16,5,4,3,0,7,10,2,5,0,0,3,1
Nate Kirner,,2,7.0,6.0,2.5,0.5,0.5,50.0%,33.3%,0.0%,1.0,1.0,14,12,5,1,1,6,12,2,6,0,2,2,2
Reece Raymond-Smith,,4,4.5,5.0,2.0,0.5,0.5,28.6%,14.3%,N/A,0.5,0.0,9,10,4,1,0,4,14,1,7,0,0,1,0
Iman Jackson,,2,4.5,1.5,0.5,1.0,0.5,44.4%,33.3%,N/A,1.0,0.5,9,3,1,2,0,4,9,1,3,0,0,2,1
Garrick Onggo,,4,3.5,2.5,0.5,0.5,0.5,25.0%,33.3%,100.0%,0.8,0.0,14,10,2,2,2,5,20,3,9,1,1,3,0
Niko Pikar,,4,1.3,1.5,0.5,0.5,0.0,16.7%,20.0%,50.0%,0.8,0.5,5,6,2,2,1,1,6,1,5,2,4,3,2
Ali Filali,,2,1.0,1.0,0.5,0.5,0.0,20.0%,0.0%,N/A,0.5,0.5,2,2,1,1,0,1,5,0,3,0,0,2,2
Micah Riebel,,2,0.5,0.5,0.0,0.0,0.0,0.0%,N/A,50.0%,0.0,0.0,1,1,0,0,0,0,4,0,0,1,2,0,0
Theo Eggimann,,1,0.0,1.0,3.0,0.0,0.0,N/A,N/A,N/A,2.0,1.0,0,1,3,0,0,0,0,0,0,0,0,2,1
Zach Golden,,2,0.0,1.5,0.0,0.0,0.0,0.0%,N/A,N/A,1.0,0.0,0,3,0,0,0,0,1,0,1,0,0,0,2
xq
